"person_id","screening_date","arnold_fta_raw","arnold_fta","arnold_nca_raw","arnold_nca","arnold_nvca_raw","arnold_nvca","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Violence_decile_score","Risk of Violence_raw_score","general_two_year","general_six_month","years","recidnot","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_two_year","violent_six_month","nullcharge","sex","race","age_at_current_charge","p_charges"
1131,2013-02-14,2,3,6,4,2,"No",3,18,10,0.88,9,-0.67,1,1,0.282854209445585,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",18,5
1134,2014-03-12,2,3,7,5,5,"Yes",2,16,9,0.4,9,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",23,7
1139,2013-11-12,1,2,1,2,1,"No",6,25,5,-0.35,4,-2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",25,5
1140,2013-05-17,2,3,6,4,3,"No",5,22,1,-1.62,2,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",68,15
1142,2014-01-11,1,2,1,2,1,"No",2,16,5,-0.76,3,-2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",34,3
1144,2013-08-13,2,3,5,4,3,"No",1,14,5,-0.68,4,-2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",27,10
1146,2013-04-25,2,3,5,4,5,"Yes",1,14,7,0.02,7,-1.47,1,0,1.15999315537303,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",23,9
1147,2013-01-05,1,2,3,3,4,"Yes",1,13,3,-0.77,5,-1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",19,2
115,2013-11-08,1,2,1,2,1,"No",2,16,4,-0.98,3,-2.32,1,1,0.0301163586584531,0,1,0,0,1,1,0,0,1,1,1,0,0,"African-American",24,3
1150,2013-10-09,2,3,9,6,4,"Yes",10,39,10,0.53,2,-2.85,1,0,1.96047227926078,0,1,0,0,1,0,0,0,0,0,0,0,0,"African-American",44,38
1151,2013-10-12,1,2,3,3,1,"No",1,11,4,-0.54,6,-1.62,1,1,0.321184120465435,0,1,0,1,0,1,0,1,0,0,0,0,1,"Other",19,3
1153,2014-01-01,0,1,2,2,0,"No",1,14,8,-0.1,6,-1.53,1,0,1.97689938398357,0,0,0,1,0,0,0,0,0,0,0,0,0,"Caucasian",18,5
1157,2013-11-05,2,3,4,3,2,"No",1,15,7,-0.09,4,-2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Native American",25,6
1159,2013-09-23,0,1,0,1,0,"No",3,18,1,-2.49,1,-4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",50,3
1161,2014-03-02,2,3,8,5,3,"No",6,24,8,0.26,2,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",53,35
1163,2013-01-04,2,3,9,6,6,"Yes",1,15,6,-0.21,5,-1.93,0,0,2.82939767282683,1,0,0,0,0,0,0,0,0,0,0,0,1,"African-American",22,10
1165,2013-08-04,2,3,6,4,2,"No",1,13,4,-0.52,6,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Other",21,4
1166,2014-03-11,2,3,7,5,2,"No",3,18,9,0.35,7,-1.36,1,0,0.588809034907598,0,0,1,0,1,0,0,0,0,1,0,0,1,"African-American",25,9
1169,2013-05-20,1,2,1,2,1,"No",1,14,4,-0.53,3,-2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",26,4
1173,2013-11-27,2,3,8,5,3,"No",5,22,6,-0.27,3,-2.46,1,0,1.76095140314853,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",39,15
1177,2014-02-24,1,2,0,1,1,"No",1,11,1,-2.37,1,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",44,8
1179,2013-03-31,4,4,5,4,2,"No",1,14,2,-1.01,1,-3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",34,6
1181,2013-08-24,2,3,6,4,5,"Yes",1,15,5,-0.69,3,-2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",32,8
1186,2013-08-13,1,2,4,3,4,"Yes",2,17,4,-0.59,6,-1.66,1,1,0.433093771389459,0,0,1,1,0,0,1,1,0,1,1,0,1,"Caucasian",22,2
1192,2013-10-11,2,3,7,5,2,"No",10,35,6,-0.29,5,-1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",54,25
1195,2014-01-09,1,2,4,3,3,"No",3,18,7,-0.24,4,-2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",34,13
1198,2013-05-10,1,2,1,2,1,"No",3,20,3,-0.97,2,-2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",28,6
1208,2013-05-23,2,3,5,4,5,"Yes",6,25,3,-0.96,2,-2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",45,7
1209,2014-03-12,0,1,2,2,3,"No",2,16,4,-0.68,7,-1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",18,4
1212,2013-08-12,1,2,4,3,4,"Yes",1,14,5,-0.79,4,-2.06,1,0,0.699520876112252,0,0,0,1,0,0,0,0,0,1,0,0,0,"African-American",22,2
1213,2014-01-13,1,2,0,1,1,"No",4,20,2,-1.32,2,-2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",34,3
1214,2013-10-13,4,4,7,5,5,"Yes",2,17,8,0.15,5,-1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",24,11
1216,2013-10-15,1,2,1,2,1,"No",1,15,6,-0.19,6,-1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",25,7
1217,2013-01-11,6,5,6,4,2,"No",1,15,2,-1.26,1,-3.05,1,0,1.03011635865845,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",33,9
122,2013-02-21,2,3,9,6,4,"Yes",7,26,10,0.78,9,-0.74,1,1,0.1572553045859,0,0,0,0,1,0,0,0,1,0,0,0,1,"African-American",26,16
122,2013-04-18,2,3,9,6,4,"Yes",8,29,10,0.93,10,-0.56,1,0,0.519164955509925,0,0,0,0,1,0,0,0,0,1,0,0,1,"African-American",27,18
1221,2013-12-20,2,3,4,3,2,"No",5,23,7,-0.11,5,-1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Other",27,5
1229,2014-02-11,2,3,5,4,2,"No",3,18,6,-0.24,2,-2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",33,13
1233,2013-08-20,2,3,4,3,4,"Yes",1,14,4,-0.56,4,-2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",24,14
1235,2013-03-20,2,3,7,5,4,"Yes",3,19,7,-0.12,8,-1.19,1,0,0.804757015742642,0,1,0,0,1,0,0,0,0,1,0,0,1,"African-American",25,36
1239,2013-01-27,2,3,6,4,3,"No",3,19,8,0.17,6,-1.65,1,1,0.151779603011636,0,0,0,1,0,0,0,1,0,1,0,0,1,"African-American",30,9
1240,2013-04-11,2,3,7,5,4,"Yes",7,26,10,0.88,7,-1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",26,36
1242,2013-05-14,0,1,1,2,3,"No",1,12,2,-1.56,1,-3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Other",34,2
1244,2014-03-24,2,3,4,3,4,"Yes",6,25,4,-0.56,5,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",45,8
1246,2014-02-23,2,3,6,4,5,"Yes",3,20,6,-0.27,5,-1.78,1,0,0.85523613963039,0,0,1,0,1,0,0,0,0,1,0,0,1,"African-American",23,5
1248,2013-09-04,1,2,3,3,5,"Yes",1,15,2,-1.34,2,-2.67,0,0,2.0684462696783,1,0,0,0,0,0,0,0,0,0,0,0,1,"Caucasian",37,6
1250,2013-09-09,2,3,6,4,3,"No",9,32,8,0.09,7,-1.49,1,0,0.530116358658453,0,1,0,0,1,0,0,0,0,0,0,0,1,"African-American",33,24
1254,2013-01-29,2,3,7,5,4,"Yes",5,22,8,0.19,4,-2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",40,30
1255,2013-08-15,1,2,3,3,1,"No",4,21,8,0.14,9,-0.96,1,0,1.01095140314853,0,0,0,0,1,0,0,0,0,1,0,0,1,"African-American",22,16
1256,2014-03-19,6,5,11,6,6,"Yes",10,38,10,0.72,9,-0.75,1,1,0.255475701574264,0,0,0,0,1,0,0,0,1,1,1,0,1,"African-American",46,36
1257,2013-01-01,0,1,3,3,4,"Yes",1,15,7,0.06,9,-0.92,1,1,0.0766598220396988,0,0,0,0,1,0,0,0,1,1,1,0,1,"African-American",19,3
1257,2013-01-30,1,2,7,5,3,"No",1,15,8,0.29,9,-0.8,1,1,0.138090349075975,0,1,0,0,1,1,0,0,1,1,1,0,1,"African-American",19,6
1257,2013-03-21,2,3,8,5,7,"Yes",2,16,9,0.48,9,-0.67,1,1,0.263689253935661,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",19,8
1258,2013-04-08,2,3,9,6,6,"Yes",10,34,8,0.24,2,-2.7,1,1,0.174880219028063,0,0,1,0,1,0,1,0,1,1,1,0,1,"African-American",49,20
1262,2013-04-12,2,3,4,3,2,"No",3,20,1,-1.41,1,-3.53,0,0,2.26642710472279,1,0,0,0,0,0,0,0,0,0,0,0,1,"Caucasian",53,8
1264,2014-02-09,2,3,9,6,6,"Yes",7,26,9,0.41,4,-2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",60,52
1268,2013-03-31,1,2,4,3,1,"No",1,15,4,-0.56,5,-1.88,1,1,0.463210130047912,0,1,0,0,1,1,0,0,1,1,1,0,1,"African-American",25,7
1269,2014-01-03,0,1,1,2,3,"No",1,14,4,-0.59,5,-1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",27,3
1274,2013-05-06,0,1,2,2,4,"Yes",1,15,2,-1.36,2,-2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Other",40,9
1280,2014-01-29,2,3,5,4,4,"Yes",5,23,7,-0.05,4,-2.09,1,0,1.69952087611225,0,0,0,1,0,0,0,0,0,1,0,0,1,"Caucasian",24,6
1286,2013-04-06,1,2,3,3,1,"No",1,14,4,-0.69,4,-2.2,1,1,0.127138945927447,0,0,0,0,1,0,0,0,1,0,0,0,1,"Caucasian",21,6
1290,2013-04-06,2,3,7,5,6,"Yes",3,19,8,0.25,9,-0.83,1,1,0.138090349075975,0,0,0,1,0,0,0,1,0,1,1,0,1,"African-American",23,9
1290,2013-05-27,2,3,7,5,4,"Yes",7,26,7,0.07,8,-1.11,1,1,0.338809034907598,0,0,0,1,0,0,0,1,0,1,1,0,1,"African-American",23,14
1290,2013-09-30,2,3,7,5,6,"Yes",5,23,8,0.12,8,-1.07,1,1,0.027378507871321,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",24,15
1292,2013-05-28,2,3,4,3,2,"No",5,22,2,-1.28,1,-3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",45,4
1293,2014-03-29,2,3,6,4,2,"No",2,16,5,-0.41,4,-2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",22,7
1297,2013-02-25,1,2,1,2,3,"No",2,16,2,-1.31,2,-2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Hispanic",27,2
1298,2013-05-09,2,3,7,5,5,"Yes",2,17,9,0.46,7,-1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",21,10
1305,2013-02-13,2,3,8,5,3,"No",3,18,8,0.27,2,-2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",33,18
1306,2013-01-30,2,3,7,5,4,"Yes",3,18,4,-0.59,3,-2.29,1,1,0.263689253935661,0,0,0,0,1,0,0,0,1,1,1,0,1,"African-American",27,15
131,2014-01-16,1,2,4,3,5,"Yes",2,16,9,0.39,10,-0.57,1,1,0.482375085557837,0,0,0,1,0,0,0,1,0,1,0,0,1,"African-American",19,7
1313,2013-04-18,0,1,3,3,3,"No",4,21,9,0.56,9,-0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",22,7
1314,2013-05-06,2,3,6,4,3,"No",5,23,8,0.09,7,-1.48,1,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",28,43
1318,2013-09-25,2,3,6,4,3,"No",9,33,8,0.18,6,-1.55,1,0,1.60523613963039,0,0,0,0,1,0,0,0,0,1,0,0,1,"African-American",37,30
1321,2013-01-02,2,3,6,4,3,"No",3,18,1,-1.56,2,-2.94,1,0,1.06570841889117,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",45,15
1323,2013-03-06,2,3,7,5,6,"Yes",3,19,3,-1.06,3,-2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",27,12
1326,2013-01-31,2,3,7,5,6,"Yes",7,27,9,0.57,10,-0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",20,6
1328,2013-09-09,0,1,0,1,2,"No",1,12,2,-1.33,2,-2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"African-American",24,2
1329,2013-08-28,2,3,7,5,5,"Yes",1,12,8,0.14,6,-1.66,1,0,1.72416153319644,0,0,0,1,0,0,0,0,0,1,0,0,1,"Caucasian",19,7
1330,2013-01-27,2,3,5,4,2,"No",7,26,4,-0.54,2,-2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",39,6
1331,2013-04-23,6,5,12,6,6,"Yes",3,20,10,1.43,6,-1.56,0,0,2.74058863791923,1,0,0,0,0,0,0,0,0,0,0,0,1,"African-American",20,15
1332,2014-01-24,2,3,5,4,3,"No",3,18,3,-0.96,2,-2.93,1,1,0.1572553045859,0,1,0,0,1,1,0,0,1,0,0,0,1,"Other",31,7
1343,2014-02-23,2,3,6,4,4,"Yes",9,32,6,-0.02,6,-1.68,1,0,1.32939767282683,0,1,0,1,0,0,0,0,0,0,0,0,1,"Hispanic",22,10
1344,2014-01-29,2,3,6,4,6,"Yes",3,19,2,-1.26,1,-3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",49,8
1351,2013-01-30,2,3,7,5,4,"Yes",3,18,7,-0.02,7,-1.45,1,1,0.493326488706366,0,0,0,1,0,0,0,1,0,1,1,0,1,"African-American",23,14
1358,2013-02-17,2,3,4,3,2,"No",1,15,6,-0.17,3,-2.33,1,1,0.0191649555099247,0,0,1,0,1,0,1,0,1,0,0,0,1,"African-American",25,4
1360,2013-11-19,2,3,5,4,3,"No",1,12,1,-1.58,2,-2.74,1,0,0.560232717316906,0,0,0,1,0,0,0,0,0,1,0,0,1,"African-American",30,4
1361,2013-05-16,2,3,4,3,2,"No",1,12,3,-0.97,2,-2.73,1,0,0.659993155373032,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",24,5
1369,2014-01-30,3,4,6,4,5,"Yes",1,12,4,-0.97,3,-2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Caucasian",26,5
1376,2013-12-07,1,2,2,2,4,"Yes",3,18,5,-0.36,4,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Hispanic",26,6
1377,2013-02-03,2,3,6,4,3,"No",5,23,7,-0.02,4,-2.16,1,1,0.243326488706366,0,1,0,0,1,1,0,0,1,0,0,0,1,"African-American",36,14
1379,2013-12-07,1,2,3,3,1,"No",1,15,7,-0.1,6,-1.64,1,1,0.054757015742642,0,0,1,1,0,0,1,1,0,0,0,0,1,"African-American",19,2
138,2013-01-12,2,3,5,4,5,"Yes",3,19,8,0.15,4,-2.15,1,0,1.03285420944559,0,0,0,1,0,0,0,0,0,0,0,0,1,"Caucasian",23,16
1380,2013-01-22,1,2,3,3,5,"Yes",3,20,2,-1.32,2,-2.62,1,1,0.252737850787132,0,0,0,0,1,0,0,0,1,1,1,0,1,"African-American",43,6
1380,2013-04-24,1,2,3,3,5,"Yes",5,23,2,-1.07,3,-2.3,1,0,1.8266598220397,0,0,1,1,0,0,0,0,0,1,0,0,1,"African-American",43,8
1385,2013-11-20,2,3,4,3,4,"Yes",1,14,2,-1.09,3,-2.48,1,1,0.054757015742642,0,0,1,1,0,0,1,1,0,0,0,0,1,"African-American",25,6
1388,2013-02-22,0,1,0,1,0,"No",1,13,1,-1.99,1,-3.81,1,0,1.19404517453799,0,0,0,1,0,0,0,0,0,0,0,0,0,"Caucasian",54,3
139,2013-04-20,1,2,3,3,4,"Yes",1,15,6,-0.21,6,-1.5,1,0,0.691307323750856,0,1,0,0,1,0,0,0,0,0,0,0,1,"Other",18,2
1396,2014-02-11,2,3,9,6,4,"Yes",8,30,10,1.39,10,0.15,1,1,0.388090349075975,0,1,0,0,1,1,0,0,1,1,0,0,1,"African-American",30,37
1399,2013-01-22,2,3,4,3,4,"Yes",6,25,3,-0.77,3,-2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",26,10
1403,2013-12-14,2,3,9,6,7,"Yes",5,22,10,0.85,9,-0.94,1,0,1.19404517453799,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",20,10
1408,2014-02-06,2,3,6,4,6,"Yes",4,21,7,-0.05,5,-1.93,1,1,0.191307323750856,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",26,13
1418,2013-05-15,1,2,3,3,2,"No",6,25,3,-0.81,3,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Hispanic",42,6
1419,2014-01-24,1,2,2,2,4,"Yes",3,19,1,-1.88,1,-3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Caucasian",31,2
1427,2013-05-10,2,3,9,6,6,"Yes",9,32,9,0.44,6,-1.59,1,0,1.24880219028063,0,1,0,1,0,0,0,0,0,0,0,0,1,"African-American",30,26
1428,2013-05-21,2,3,10,6,5,"Yes",1,15,7,0.19,5,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",22,13
1431,2014-03-05,0,1,0,1,0,"No",1,12,5,-0.44,3,-2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",23,4
1433,2013-11-23,1,2,4,3,2,"No",5,23,8,0.27,7,-1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",18,3
1435,2014-03-12,1,2,3,3,3,"No",1,11,2,-1.23,3,-2.47,1,0,0.688569472963724,0,1,0,1,0,0,0,0,0,0,0,0,1,"African-American",23,3
1445,2013-01-03,2,3,9,6,4,"Yes",9,33,7,0.08,9,-0.93,1,1,0.232375085557837,0,0,0,1,0,0,0,1,0,1,0,0,1,"African-American",30,22
1446,2014-02-04,2,3,5,4,5,"Yes",1,14,1,-1.57,2,-2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",33,4
1447,2013-11-26,2,3,4,3,2,"No",2,16,1,-1.49,1,-3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",38,8
1451,2013-02-26,2,3,5,4,4,"Yes",1,15,7,-0.12,1,-2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",39,11
1452,2014-03-10,0,1,2,2,0,"No",1,11,5,-0.68,5,-1.74,1,1,0.0657084188911704,0,0,0,1,0,0,0,1,0,0,0,0,0,"Caucasian",19,3
1454,2013-10-30,2,3,9,6,4,"Yes",4,21,10,0.67,9,-0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",23,22
1458,2013-10-10,1,2,2,2,1,"No",1,13,3,-0.78,5,-1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",20,3
